competition_id,date,name
1655,2017-04-30,2017 All Midwest Bench and Deadlift
1656,2017-05-27,2017 Philadelphia Freedom Championship
1659,2017-05-06,Milwaukee Open
1660,2017-05-22,IPF World Men's Bench Press Championships - Lithuania
1661,2017-05-27,Ketchikan 21st Spring Meet
1662,2017-04-29,Pacific Invitationals
1663,2017-05-13,2017 Maryland State Championships
1664,2017-05-27,Boss of Norcal 4
1665,2017-06-03,2017 Unreal BarBellum
1666,2017-06-03,BFE Classic
1667,2017-06-03,2017 New Jersey State Championships
1668,2017-06-03,2017 Non-Resident Ohio State Championship
1669,2017-06-03,Kansas Heavy Metal Open
1670,2017-06-03,Gulf Breeze Open
1671,2017-06-10,Badger Open 2017
1672,2017-06-10,2nd Annual Battle at the Beach
1673,2017-06-10,2017 North Carolina State Championships
1674,2017-02-18,Connecticut Winter Invitational
1675,2017-05-20,2017 Bench press & Deadlift PA State Championships
1678,2017-05-13,MHB Spring Raw Classic
1679,2017-06-17,2017 Missouri State Championships
1680,2017-06-10,Dirty South Bench Press & Deadlift Challenge
1682,2017-06-10,Twin Ports Raw Open
1683,2017-06-03,2017 Ohio State Championships
1684,2017-06-24,Kentucky State Raw Champs
1685,2017-06-10,Syracuse Summer Showdown
1686,2017-06-10,Boynton Barbell Center Invitational
1687,2017-06-03,2017 Texas State Powerlifting Championships
1688,2017-06-25,2017 Independence Championships
1689,2017-06-24,2017 Calcasieu Cup
1690,2017-06-17,Quad Cities Summer Blastoff
1691,2017-06-10,NorCal Open
1692,2017-07-09,6th Annual Central Florida Open Championships
1693,2017-07-07,2017 Southwest Regional
1694,2017-07-08,Liberty Games 2017
1695,2017-07-15,2017 Rochester Hills BarBellum
1696,2017-07-15,2017 Massachusetts Quickie Qualifier
1697,2017-07-15,Women of Steel Summer Showdown
1698,2017-07-15,2017 DC Barbell Club PRO Invitational
1701,2017-06-15,5th IPF World Classic Championships - Minsk \ Belarus
1702,2017-07-04,15th Annual NAPF North American Regional Powerlifting Championships
1703,2017-07-15,2017 Summer Power Fest
1704,2017-07-15,CA State Games & USA Masters Games
1705,2017-07-22,Sweet Applewood Open
1706,2017-07-22,3rd Annual Route 66 Classic
1707,2017-06-24,Seattle Summer Classic
1708,2017-07-08,2017 Iowa State Championship
1711,2017-08-05,2017 Southeastern Regional Championships
1712,2017-07-08,5 Bar Showdown!
1714,2017-08-04,2017 Mid-Atlantic Regional Championship
1716,2017-08-06,2017 NJ Last Chance Qualifier
1717,2017-07-22,Connecticut Summer Showdown
1718,2017-07-15,Rumble on Pratt Street
1719,2017-08-05,Southern Regional Championships
1720,2017-04-23,Pittsburgh Raw Open
1721,2017-08-05,Northwest Regional Championship
1722,2017-06-24,Northern Indiana Bench & Deadlift Championships
1723,2017-07-15,2nd Annual Justin Maile Classic
1724,2017-07-15,2017 Louisiana Summer Classic
1725,2017-08-05,Minnesota Summer Push/Pull Classic
1726,2017-05-27,2017 Nevada State Championship
1727,2016-11-04,Rise of the Dead Push Pull
1728,2017-06-17,2017 Vermont State Championships
1729,2017-08-19,2017 Northeast Regional Championships
1730,2017-08-19,2017 Mid-West Regional Championship
1732,2017-07-10,2nd University Powerlifting Cup - Potchefstroom (South Africa)
1733,2017-07-24,World Games 2017 Wroclaw (Poland)
1734,2017-07-30,2017 Rocky Mountain State Games
1735,2017-07-08,NW Regionals Last Chance Qualifier
1737,2017-08-27,Bring A Volunteer Last Minute Qualifier
1738,2017-07-22,Limitless Push/Pull
1739,2017-08-26,JBC Invitational
1740,2017-08-26,2017 OK Summer Bash
1741,2017-08-27,Last Chance Qualifier 2017
1742,2017-08-20,Juggernaut Summer Open
1743,2017-08-19,Palmetto Classic
1744,2017-08-27,Sun Devil Classic
1745,2017-08-26,Big Iron Classic
1746,2017-08-26,Baltimore Open
1747,2017-08-19,Summer Raid
1748,2017-09-03,Florida Last Chance Qualifier
1749,2017-09-02,2017 El Paso Iron Open
1750,2017-09-02,2017 Central Region Championship
1751,2017-07-15,Wolf Pack Bench Open
1752,2017-09-03,2017 New Orleans Invitational
1753,2017-08-26,Texas Raw Championships
1754,2017-09-09,Connecticut Fall Classic
1755,2017-09-09,2017 CBUS Lifting Co Fall Classic
1756,2017-09-10,2017 Virginia Last Chance Qualifier
1757,2017-09-10,2017 Lehigh Valley Championships
1758,2017-09-09,Charm City Classic
1759,2017-09-09,2017 Benchpress Nationals
1761,2017-09-10,2017 Whippany Athletic Club Fall Power Fest
1762,2017-09-09,Santa Cruz Strength Fall Classic
1763,2017-09-16,Pure Fitness Open Fall
1764,2017-09-16,2017 Spokane
1765,2017-09-16,Kansas Klassic
1766,2017-09-17,Supertotal Weekend
1767,2017-09-16,2nd Annual Colorado Fall Open
1768,2017-09-16,Powerlifting For Pups
1769,2017-09-23,2017 Michigan Rookie Rumble
1770,2017-09-24,2017 New Jersey Heavy Metal Classic
1771,2017-09-23,Apeman Strong Fest
1772,2017-09-16,Deadlift & Push Pull Nationals
1773,2017-09-23,Phoenix Taskforce Powerlifting Festival
1774,2017-09-30,2017 Morey Mayhem BarBellum
1775,2017-09-30,9th Annual Iron Wars
1776,2017-10-10,2017 Raw National Championships
1777,2017-09-30,2017 Solcana Novice Meet
1778,2017-09-30,14th Annual Florida Collegiate Championships
1779,2017-09-30,2017 Anthracite Open
1780,2017-09-30,CT Bench Press Against Breast Cancer
1781,2017-10-07,Humanity Open
1782,2017-10-14,2017 Philadelphia Fall Championship
1784,2017-09-30,Western Wisconsin Open
1785,2015-02-07,RM Østafjell
1786,2015-05-01,Nasjonalt utstyrsfritt styrkeløft
1787,2016-06-11,Åpent stevne
1789,2017-06-17,Klubbstevne
1790,2017-10-21,Power on the Platte
1791,2017-10-14,2017 Muscle Beach Powerlifting Classic
1792,2017-10-21,Noonan Barbell Raw Open
1793,2017-10-21,2017 Michigan Iron Monger
1794,2017-10-22,Team Phoinix Halloween Havoc
1795,2017-10-28,Tundra Rumble
1796,2017-10-27,2017 SBWC Fall Classic
1797,2017-10-29,2017 Delaware Fall Classic
1798,2017-11-04,2017 Michigan Teen Meet
1799,2017-11-04,Ivy League Championships II
1801,2017-11-05,2017 No Frills Midwest Collegiate Cup
1802,2017-10-28,Finger Lakes Championships
1803,2017-10-28,New England Showdown
1804,2017-11-04,Eau Claire Open
1805,2017-11-11,Rio Grande Valley Fall Classic
1806,2017-11-11,Champion's Fall Classic
1807,2017-11-11,Savage Open
1808,2017-11-04,Fall Festival of Power
1809,2016-09-11,2016  NJ State Push-Pull Championships
1810,2017-11-12,2017 New Jersey Iron Gobbler
1811,2017-11-05,Pittsburgh Raw Open
1813,2017-11-11,The Beast of the Metro East 2017
1814,2017-11-11,Arizona 2017 Fall Classic
1815,2017-11-11,Salute to Service
1816,2017-11-11,Winter Wars 2017
1817,2017-11-12,2017 Raw Collegiate Cup
1818,2017-11-18,2017 RMLC Championships
1819,2017-11-18,Long Island Gobbler Open
1821,2017-08-28,World Juniors & Sub-Juniors Championships
1822,2017-10-01,World Masters Championships
1823,2017-11-13,IPF Open World Championships
1824,2017-11-19,Quad City Iron Thriller
1825,2017-10-27,2017 NAPF Bench Press Championship
1827,2017-11-18,Trojan Iron Wars
1828,2017-11-05,2017 Chicagoland Women's Raw Novice
1829,2017-11-18,2017 Power Partners Raw Open
1830,2017-11-11,I-STEP Inaugural Invitational Powerlifting Meet
1831,2017-11-19,Stars and Stripes Championship
1832,2017-11-18,2017 Iron Empire Classic
1833,2017-11-18,2017 Abbeville Open and Collegiate Championships
1834,2017-11-18,Longhorn Open
1835,2017-11-18,Ferrigno Legacy
1836,2017-12-02,2017 New England Open
1838,2017-08-26,Wolf Open
1839,2017-12-02,Kansas State Championship
1840,2017-12-02,2017 Michigan State Meet
1841,2017-12-03,2017 New Jersey Collegiate Invitational Championship
1842,2017-12-02,Merry Muscle Madness
1843,2017-12-02,Brother Bennett Memorial
1844,2017-12-02,2017 Army-Navy Invitational
1845,2017-12-02,Wisconsin Collegiate State Championship
1846,2017-12-08,2017 American Open
1847,2017-12-02,2017 Texas Open & Collegiate Cup
